shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
18060,51.64561,-121.29508,0,0
18060,51.63725,-121.29181,1,1300
18068,51.64561,-121.29508,0,0
18068,51.6441,-121.29554,1,174
18068,51.64331,-121.29596,2,274
18068,51.64317,-121.29587,3,296
18068,51.64213,-121.29623,4,413
18068,51.64186,-121.29636,5,448
18068,51.64162,-121.29599,6,488
18068,51.64133,-121.29584,7,522
18068,51.64026,-121.29597,8,637
18068,51.64007,-121.29582,9,661
18068,51.63994,-121.29623,10,692
18068,51.64005,-121.29764,11,790
18068,51.63911,-121.29789,12,896
18068,51.63899,-121.29726,13,945
18068,51.63897,-121.29667,14,989
18068,51.63972,-121.29645,15,1073
18068,51.63961,-121.29549,16,1140
18068,51.63928,-121.2953,17,1178
18068,51.63869,-121.29523,18,1243
18068,51.63841,-121.29528,19,1274
18068,51.63787,-121.2957,20,1340
18068,51.63801,-121.29793,21,1492
18068,51.63816,-121.29822,22,1518
18068,51.63842,-121.2983,23,1547
18068,51.6457,-121.29639,24,2362
18068,51.64697,-121.29618,25,2501
18068,51.64953,-121.29643,26,2784
18068,51.65062,-121.29621,27,2904
18068,51.65395,-121.29444,28,3293
18068,51.65517,-121.2933,29,3450
18068,51.65589,-121.29195,30,3572
18068,51.65679,-121.28943,31,3771
18068,51.65715,-121.28871,32,3835
18068,51.65811,-121.28767,33,3962
18068,51.65917,-121.28735,34,4080
18068,51.6597,-121.28735,35,4138
18068,51.66402,-121.28941,36,4638
18068,51.66902,-121.29184,37,5216
18068,51.67318,-121.29385,38,5697
18068,51.67433,-121.2949,39,5844
18068,51.67888,-121.30322,40,6610
18068,51.6824,-121.30893,41,7164
18068,51.68255,-121.30918,42,7188
18068,51.68285,-121.30937,43,7224
18068,51.68311,-121.30934,44,7252
18068,51.6836,-121.30986,45,7321
18068,51.68465,-121.31026,46,7441
18068,51.68574,-121.3114,47,7584
18068,51.68667,-121.31119,48,7688
18068,51.6876,-121.31115,49,7791
18068,51.6879,-121.31091,50,7827
18068,51.68859,-121.30996,51,7928
18068,51.68878,-121.3095,52,7966
18068,51.68916,-121.30796,53,8080
18068,51.68926,-121.30769,54,8102
18068,51.68982,-121.30686,55,8186
18068,51.69083,-121.30773,56,8312
18068,51.69079,-121.30805,57,8336
18068,51.69047,-121.30957,58,8449
18068,51.69048,-121.31056,59,8517
18068,51.69055,-121.31085,60,8538
18068,51.69119,-121.31212,61,8650
18068,51.6916,-121.3134,62,8749
18068,51.69162,-121.3138,63,8777
18068,51.69085,-121.31719,64,9024
18068,51.69767,-121.32155,65,9840
18068,51.69861,-121.32208,66,9950
18068,51.69988,-121.32224,67,10091
18068,51.70067,-121.32217,68,10179
18068,51.70145,-121.32185,69,10268
18068,51.70563,-121.31834,70,10791
18068,51.7065,-121.31794,71,10891
18068,51.70782,-121.31784,72,11038
18068,51.71443,-121.3185,73,11773
18068,51.71552,-121.3186,74,11894
