trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2309663:6584057:6591013,09:45:00,09:45:00,187000,1,0,,0,0,1
2309663:6584057:6591013,10:00:00,10:00:00,187020,2,11805,,0,0,1
2309663:6584057:6591013,10:08:00,10:08:00,187022,3,17494,,0,0,1
2309663:6584057:6591013,10:15:00,10:15:00,187021,4,23780,,0,0,1
2309663:6584057:6591013,10:20:00,10:20:00,187024,5,28935,,0,0,1
2309663:6584057:6591013,10:29:00,10:29:00,187017,6,35052,,0,0,1
2309663:6584057:6591013,10:30:00,10:30:00,187018,7,35326,,0,0,0
2309663:6584057:6591013,10:31:00,10:31:00,187019,8,35500,,0,0,0
2309663:6584057:6591013,10:33:00,10:33:00,187000,9,35997,,0,0,1
2309664:6585494:6591013,13:42:00,13:42:00,187017,1,0,,0,0,1
2309664:6585494:6591013,13:43:00,13:43:00,187018,2,274,,0,0,0
2309664:6585494:6591013,13:44:00,13:44:00,187019,3,448,,0,0,0
2309664:6585494:6591013,13:46:00,13:46:00,187000,4,945,,0,0,1
2309664:6585494:6591013,13:54:00,13:54:00,187023,5,8336,,0,0,1
2309664:6585494:6591013,13:59:00,13:59:00,187020,6,13506,,0,0,1
2309664:6585494:6591013,14:07:00,14:07:00,187022,7,19195,,0,0,1
2309664:6585494:6591013,14:15:00,14:15:00,187021,8,25481,,0,0,1
2309661:6586025:6591013,15:20:00,15:20:00,187016,1,0,,0,0,1
2309661:6586025:6591013,15:21:00,15:21:00,187017,2,171,,0,0,1
2309661:6586025:6591013,15:22:00,15:22:00,187018,3,445,,0,0,0
2309661:6586025:6591013,15:23:00,15:23:00,187019,4,619,,0,0,0
2309661:6586025:6591013,15:25:00,15:25:00,187000,5,1116,,0,0,1
2309661:6586025:6591013,15:27:00,15:27:00,187001,6,1676,,0,0,0
2309661:6586025:6591013,15:28:00,15:28:00,187002,7,2035,,0,0,0
2309661:6586025:6591013,15:29:00,15:29:00,187003,8,2380,,0,0,1
2309661:6586025:6591013,15:31:00,15:31:00,187004,9,3072,,0,0,0
2309661:6586025:6591013,15:32:00,15:32:00,187005,10,3614,,0,0,0
2309661:6586025:6591013,15:34:00,15:34:00,187006,11,4559,,0,0,1
2309661:6586025:6591013,15:35:00,15:35:00,187007,12,5016,,0,0,0
2309661:6586025:6591013,15:35:00,15:35:00,187008,13,5187,,0,0,0
2309661:6586025:6591013,15:36:00,15:36:00,187009,14,5718,,0,0,0
2309661:6586025:6591013,15:36:00,15:36:00,187015,15,6110,,0,0,0
2309661:6586025:6591013,15:37:00,15:37:00,187016,16,6477,,0,0,1
2309661:6586025:6591013,15:38:00,15:38:00,187017,17,6648,,0,0,1
2309661:6586025:6591013,15:39:00,15:39:00,187018,18,6922,,0,0,0
2309661:6586025:6591013,15:40:00,15:40:00,187019,19,7096,,0,0,0
2309661:6586025:6591013,15:42:00,15:42:00,187000,20,7593,,0,0,1
2309665:6586421:6591013,16:36:00,16:36:00,187017,1,0,,0,0,1
2309665:6586421:6591013,16:37:00,16:37:00,187018,2,274,,0,0,0
2309665:6586421:6591013,16:38:00,16:38:00,187019,3,448,,0,0,0
2309665:6586421:6591013,16:40:00,16:40:00,187000,4,945,,0,0,1
2309665:6586421:6591013,16:48:00,16:48:00,187023,5,8336,,0,0,1
2309665:6586421:6591013,16:53:00,16:53:00,187020,6,13506,,0,0,1
2309665:6586421:6591013,17:01:00,17:01:00,187022,7,19195,,0,0,1
2309665:6586421:6591013,17:09:00,17:09:00,187021,8,25481,,0,0,1
2309665:6586421:6591013,17:20:00,17:20:00,187017,9,35968,,0,0,1
2309659:6587875:6591013,10:33:00,10:33:00,187000,1,0,,0,0,1
2309659:6587875:6591013,10:35:00,10:35:00,187001,2,560,,0,0,0
2309659:6587875:6591013,10:36:00,10:36:00,187002,3,919,,0,0,0
2309659:6587875:6591013,10:37:00,10:37:00,187003,4,1264,,0,0,1
2309659:6587875:6591013,10:39:00,10:39:00,187004,5,1956,,0,0,0
2309659:6587875:6591013,10:40:00,10:40:00,187005,6,2498,,0,0,0
2309659:6587875:6591013,10:42:00,10:42:00,187006,7,3443,,0,0,1
2309659:6587875:6591013,10:43:00,10:43:00,187007,8,3900,,0,0,0
2309659:6587875:6591013,10:43:00,10:43:00,187008,9,4071,,0,0,0
2309659:6587875:6591013,10:44:00,10:44:00,187009,10,4602,,0,0,0
2309659:6587875:6591013,10:44:00,10:44:00,187015,11,4994,,0,0,0
2309659:6587875:6591013,10:45:00,10:45:00,187016,12,5361,,0,0,1
2309659:6587875:6591013,10:46:00,10:46:00,187017,13,5532,,0,0,1
2309659:6587875:6591013,10:47:00,10:47:00,187018,14,5806,,0,0,0
2309659:6587875:6591013,10:48:00,10:48:00,187019,15,5980,,0,0,0
2309659:6587875:6591013,10:50:00,10:50:00,187000,16,6477,,0,0,1
2309658:6588320:6591013,08:26:00,08:26:00,187000,1,0,,0,0,1
2309658:6588320:6591013,08:28:00,08:28:00,187001,2,560,,0,0,0
2309658:6588320:6591013,08:29:00,08:29:00,187002,3,919,,0,0,0
2309658:6588320:6591013,08:30:00,08:30:00,187003,4,1264,,0,0,1
2309658:6588320:6591013,08:32:00,08:32:00,187004,5,1956,,0,0,0
2309658:6588320:6591013,08:33:00,08:33:00,187005,6,2498,,0,0,0
2309658:6588320:6591013,08:35:00,08:35:00,187006,7,3443,,0,0,1
2309658:6588320:6591013,08:36:00,08:36:00,187007,8,3900,,0,0,0
2309658:6588320:6591013,08:36:00,08:36:00,187008,9,4071,,0,0,0
2309658:6588320:6591013,08:37:00,08:37:00,187009,10,4602,,0,0,0
2309658:6588320:6591013,08:37:00,08:37:00,187015,11,4994,,0,0,0
2309658:6588320:6591013,08:38:00,08:38:00,187016,12,5361,,0,0,1
2309658:6588320:6591013,08:39:00,08:39:00,187017,13,5532,,0,0,1
2309658:6588320:6591013,08:40:00,08:40:00,187018,14,5806,,0,0,0
2309658:6588320:6591013,08:41:00,08:41:00,187019,15,5980,,0,0,0
2309658:6588320:6591013,08:43:00,08:43:00,187000,16,6477,,0,0,1
2309662:6588905:6591013,07:45:00,07:45:00,187020,1,0,,0,0,1
2309662:6588905:6591013,07:53:00,07:53:00,187022,2,5689,,0,0,1
2309662:6588905:6591013,08:01:00,08:01:00,187021,3,11975,,0,0,1
2309662:6588905:6591013,08:06:00,08:06:00,187024,4,17130,,0,0,1
2309662:6588905:6591013,08:15:00,08:15:00,187017,5,23247,,0,0,1
2309662:6588905:6591013,08:16:00,08:16:00,187018,6,23521,,0,0,0
2309662:6588905:6591013,08:17:00,08:17:00,187019,7,23695,,0,0,0
2309662:6588905:6591013,08:19:00,08:19:00,187000,8,24192,,0,0,1
2309660:6589252:6591013,13:23:00,13:23:00,187025,1,0,,0,0,1
2309660:6589252:6591013,13:25:00,13:25:00,187017,2,439,,0,0,1
2309660:6589252:6591013,13:26:00,13:26:00,187018,3,713,,0,0,0
2309660:6589252:6591013,13:27:00,13:27:00,187019,4,887,,0,0,0
2309660:6589252:6591013,13:29:00,13:29:00,187000,5,1384,,0,0,1
2309660:6589252:6591013,13:31:00,13:31:00,187001,6,1944,,0,0,0
2309660:6589252:6591013,13:32:00,13:32:00,187002,7,2303,,0,0,0
2309660:6589252:6591013,13:33:00,13:33:00,187003,8,2648,,0,0,1
2309660:6589252:6591013,13:35:00,13:35:00,187004,9,3340,,0,0,0
2309660:6589252:6591013,13:36:00,13:36:00,187005,10,3882,,0,0,0
2309660:6589252:6591013,13:38:00,13:38:00,187006,11,4827,,0,0,1
2309660:6589252:6591013,13:39:00,13:39:00,187007,12,5284,,0,0,0
2309660:6589252:6591013,13:39:00,13:39:00,187008,13,5455,,0,0,0
2309660:6589252:6591013,13:40:00,13:40:00,187009,14,5986,,0,0,0
2309660:6589252:6591013,13:40:00,13:40:00,187015,15,6378,,0,0,0
2309660:6589252:6591013,13:41:00,13:41:00,187016,16,6745,,0,0,1
2309660:6589252:6591013,13:42:00,13:42:00,187017,17,6916,,0,0,1
