stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
107022,Bourquin Cres W at Ware St,49.04686,-122.30574,0,107022
107023,Ware St at Plaxton Cres,49.04562,-122.30455,0,107023
107033,Old Yale Rd at Park Dr,49.04677,-122.28019,0,107033
107034,Old Yale Rd at Hyatt Pl,49.04635,-122.27524,0,107034
107056,Old Clayburn Rd at Mt Blanchard Dr,49.06287,-122.25165,0,107056
107057,34900 Blk Old Clayburn Rd,49.06127,-122.2567,0,107057
107116,Maclure Rd at Townline Rd,49.05399,-122.35934,0,107116
107117,Old Yale Rd at Mitchell St,49.05264,-122.35354,0,107117
107151,Marshall Rd at McKenzie Rd,49.03864,-122.28278,0,107151
107181,George Ferguson Way at Prospect St,49.05493,-122.32499,0,107181
107182,G Ferguson Way at Garden St,49.05497,-122.32008,0,107182
107226,Laburnum Ave at Mierau St,49.06337,-122.26679,0,107226
107227,Laburnum Ave at Sussex St,49.06395,-122.26341,0,107227
107292,Babich St at Maclure Rd,49.05991,-122.30143,0,107292
107293,Maclure Rd at Babich St,49.06043,-122.30257,0,107293
107316,2500 Blk Gladwin Rd,49.04768,-122.31533,0,107316
107317,Gladwin Rd at Hillcrest Ave,49.0497,-122.31509,0,107317
107319,McKenzie Rd at Victory Blvd,49.04107,-122.28243,0,107319
107320,McKenzie Rd at Marshall Rd,49.03919,-122.28235,0,107320
107137,Marshall Rd at Abbotsford Way,49.03831,-122.27637,0,107137
107321,Marshall Rd at Vedder Way,49.03803,-122.27126,0,107321
107390,McKee Rd at McKee Pl,49.06257,-122.24797,0,107390
107274,South Fraser Way at Center St,49.04771,-122.34275,0,107274
107275,South Fraser Way at Hill-Tout St,49.04639,-122.34671,0,107275
107418,Peardonville Rd at Windsor St,49.04538,-122.35365,0,107418
107419,Martens St at Oakridge Cres,49.04149,-122.35134,0,107419
107434,Fraser Hwy at Bradner Rd,49.057,-122.42755,0,107434
107435,Fraser Hwy at Cottonwood St,49.05722,-122.44099,0,107435
107751,1st Ave at Welton St,49.13443,-122.30357,0,107751
107752,1st Ave at James St,49.13445,-122.30825,0,107752
107825,Stave Lake St at Prentis Ave,49.14348,-122.29271,0,107825
107826,11th Ave at Dunsmuir St,49.14458,-122.29842,0,107826
107842,11th Ave at Dunsmuir St,49.14454,-122.29838,0,107842
107843,Stave Lake St at 11th Ave,49.14328,-122.29279,0,107843
107021,Bourquin Cres W at Mill Lake Rd,49.04742,-122.30746,0,107021
107194,South Fraser Way at Roberts Ave,49.04934,-122.29563,0,107194
107079,Montrose Ave at Essendene Ave,49.04875,-122.29045,0,107079
107318,McKenzie Rd at Lobban Rd,49.04523,-122.28744,0,107318
107332,Old Yale Rd at N Parallel Rd,49.03872,-122.23168,0,107332
107333,Old Yale Rd at Winfield Dr W,49.03906,-122.23067,0,107333
107192,South Fraser Way at Ware St,49.0503,-122.30383,0,107192
107193,South Fraser Way at Bourquin Cres E,49.04992,-122.30043,0,107193
107199,Ware St at Robertson Ave,49.04818,-122.30439,0,107199
107087,South Fraser Way at Gladwin Rd East Side,49.05101,-122.3131,0,107087
107088,South Fraser Way at Gladwin Rd West Side,49.05117,-122.31689,0,107088
107089,South Fraser Way at Emerson St,49.05125,-122.31887,0,107089
107090,South Fraser Way at Garden St,49.05143,-122.32243,0,107090
107091,South Fraser Way at Adelaide St,49.05168,-122.32809,0,107091
107273,South Fraser Way at Clearbrook Rd,49.049,-122.33944,0,107273
107012,South Fraser Way at Clearbrook Rd,49.04975,-122.33679,0,107012
107013,South Fraser Way at Minter St,49.05119,-122.33301,0,107013
107014,South Fraser Way at Adelaide St,49.05151,-122.32892,0,107014
107015,South Fraser Way at Trethewey St,49.05136,-122.32482,0,107015
107016,South Fraser Way at Allwood St,49.05119,-122.32058,0,107016
107017,South Fraser Way at Emerson St,49.05105,-122.31748,0,107017
107018,South Fraser Way at Gladwin Rd,49.0509,-122.3134,0,107018
107019,South Fraser Way at Bourquin Cres W,49.05083,-122.31143,0,107019
108262,Bourquin Exch Bay D,49.04818,-122.30841,0,108262
107024,Ware St at Farrant Cres,49.04402,-122.30456,0,107024
107025,Bevan Ave at Ware St,49.04191,-122.30361,0,107025
107026,Bevan Ave at Abbotsford Senior Secondary,49.04193,-122.29791,0,107026
107027,Bevan Ave at Cannon Ave,49.04441,-122.29627,0,107027
107257,Cannon Ave at McCallum Rd,49.04566,-122.294,0,107257
107081,33500 Blk Bevan Ave,49.04395,-122.29639,0,107081
107082,Bevan Ave at Abbotsford Senior Secondary,49.04189,-122.29875,0,107082
107083,Ware St at Bevan Ave,49.04244,-122.30446,0,107083
107084,Ware St at Ravine Ave,49.04491,-122.30445,0,107084
107085,Bourquin Cres W at Ware St,49.04694,-122.30533,0,107085
107500,Bourquin Exch Bay B,49.04825,-122.30893,0,107500
107122,Bourquin Cres W at Ventura Ave,49.05196,-122.31025,0,107122
107123,Bourquin Cres W at Amicus Pl,49.0534,-122.31028,0,107123
107124,G Ferguson Way at Trafalgar St,49.05417,-122.30848,0,107124
107125,G Ferguson Way at Ware St,49.05333,-122.3055,0,107125
107126,G Ferguson Way at Fuller St,49.05254,-122.30274,0,107126
107288,Babich St at G Ferguson Way,49.05238,-122.30009,0,107288
107289,Babich St at Century Cres,49.05446,-122.30021,0,107289
107290,Babich St at Terry Fox Ave,49.05669,-122.30022,0,107290
107291,33300 Blk Wren Cres,49.05888,-122.29886,0,107291
107294,Maclure Rd at Horn St,49.06114,-122.30842,0,107294
107295,Maclure Rd at Gladwin Rd,49.06039,-122.31343,0,107295
107296,Gladwin Rd at Chehalis Dr,49.06213,-122.31601,0,107296
107297,Gladwin Rd at Okanagan Dr,49.06446,-122.31597,0,107297
107298,Gladwin Rd at Old Riverside Rd,49.0665,-122.31594,0,107298
107299,Harwood Cres at Perth St,49.0693,-122.31478,0,107299
107300,Harwood Cres at Aspen Ave,49.07052,-122.31211,0,107300
107301,Gatefield Ave at Gladwin Rd,49.0724,-122.31521,0,107301
107302,Chilcotin Dr at Gladwin Rd,49.0724,-122.31674,0,107302
107303,Chilcotin Dr at Nicola St,49.07066,-122.31956,0,107303
107304,Qualicum St at Qualicum Pl,49.06843,-122.32298,0,107304
107305,Haida Dr at Qualicum St,49.06736,-122.32443,0,107305
107306,Trethewey St at Golden Ave,49.06487,-122.32769,0,107306
107307,Trethewey St at Slocan Dr,49.06194,-122.32704,0,107307
107308,Trethewey St at Maclure Rd,49.05941,-122.32698,0,107308
107309,Trethewey St at Diamond Cres,49.05679,-122.32688,0,107309
107208,G Ferguson Way at Trethewey St,49.05509,-122.32732,0,107208
107209,G Ferguson Way at Boulder St,49.05503,-122.33021,0,107209
107210,32100 Blk George Ferguson Way,49.05493,-122.33502,0,107210
