route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
52-CFV,2919,2395287:6186039:6838976,Evans - to Cottonwood Mall,14682,6838976,1
66-CFV,1803,2393950:6186068:6839001,Fraser Valley Exp - to Lougheed Stn,14731,6839001,1
51-CFV,1803,2395166:6186073:6838828,Vedder - to UFV Chilliwack,14688,6838828,1
54-CFV,1803,2395029:6186074:6838826,Promontory - to Promontory,14611,6838826,1
71-CFV,1803,2395175:6186085:6838895,Chilliwack,14601,6838895,1
51-CFV,1803,2395121:6186092:6838642,Vedder - to UFV Chilliwack,14688,6838642,1
51-CFV,1803,2395118:6186109:6838622,Vedder - to UFV Chilliwack,14688,6838622,1
54-CFV,2919,2395277:6186110:6838976,Promontory - to Promontory,14611,6838976,1
71-CFV,1803,2395179:6186117:6838895,Chilliwack,14601,6838895,1
58-CFV,2919,2395324:6186143:6838976,Tyson - to Cottonwood Mall,15930,6838976,0
51-CFV,1803,2395005:6186164:6838622,Vedder - to Menzies,14728,6838622,0
58-CFV,2919,2395318:6186170:6838720,Tyson - to Cottonwood Mall,15930,6838720,0
66-CFV,2919,2393985:6186174:6838819,Fraser Valley Exp - to Lougheed Stn,14731,6838819,1
58-CFV,2919,2395298:6186184:6838720,Tyson - to Keith Wilson,4262,6838720,1
58-CFV,1803,2395101:6186196:6838782,Tyson - to Keith Wilson,4262,6838782,1
51-CFV,1803,2394998:6186231:6838838,Vedder - to Menzies,14728,6838838,0
52-CFV,1803,2395020:6186248:6838828,Evans - to Cottonwood Mall,14682,6838828,1
66-CFV,2919,2393989:6186260:6838653,Fraser Valley Exp - to Chilliwack,14709,6838653,0
51-CFV,1803,2394982:6186288:6838686,Vedder - to UFV Chilliwack,14688,6838686,1
53-CFV,1803,2395144:6186327:6838642,Fairfield,14705,6838642,1
53-CFV,2919,2395303:6186349:6838720,Fairfield,14705,6838720,1
66-CFV,2919,2393984:6186353:6838843,Fraser Valley Exp - to Lougheed Stn,14731,6838843,1
52-CFV,2919,2395278:6186405:6838719,Evans - to Downtown,14629,6838719,0
57-CFV,2919,2395310:6186410:6838719,Broadway - to Cottonwood Mall,14678,6838719,1
52-CFV,2919,2395271:6186421:6838597,Evans - to Downtown,14629,6838597,0
55-CFV,1803,2395076:6186429:6839032,Yarrow-Greendale - to UFV Chilliwack,14689,6839032,0
57-CFV,1803,2395141:6186453:6838782,Broadway - to Downtown,14623,6838782,0
57-CFV,1803,2395106:6186463:6838782,Broadway - to Downtown,14623,6838782,0
52-CFV,1803,2395070:6186486:6838724,Evans - to Downtown,14630,6838724,0
54-CFV,2919,2395274:6186505:6839084,Promontory - to Promontory,14611,6839084,1
71-CFV,1803,2395199:6186532:6839054,Chilliwack,14601,6839054,1
51-CFV,2919,2395249:6186563:6838719,Vedder - to UFV Chilliwack,14688,6838719,1
66-CFV,2919,2393993:6186601:6838843,Fraser Valley Exp - to Chilliwack,14709,6838843,0
51-CFV,2919,2395258:6186613:6838597,Vedder - to Menzies,14728,6838597,0
57-CFV,2919,2395349:6186623:6838719,Broadway - to Downtown,14623,6838719,0
52-CFV,2919,2395286:6186634:6838597,Evans - to Cottonwood Mall,14682,6838597,1
57-CFV,2919,2395230:6186637:6838720,Broadway - to Downtown,14623,6838720,0
51-CFV,1803,2394971:6186676:6838686,Vedder - to UFV Chilliwack,14688,6838686,1
66-CFV,2919,2393986:6186688:6838819,Fraser Valley Exp - to Chilliwack,14709,6838819,0
54-CFV,1803,2395023:6186699:6838743,Promontory - to Promontory,14611,6838743,1
52-CFV,2919,2395272:6186702:6839084,Evans - to Cottonwood Mall,14682,6839084,1
66-CFV,1803,2393957:6186708:6839001,Fraser Valley Exp - to Chilliwack,14709,6839001,0
54-CFV,1803,2395030:6186736:6838711,Promontory - to Promontory,14611,6838711,1
54-CFV,1803,2395026:6186775:6838826,Promontory - to Cottonwood Mall,14694,6838826,0
51-CFV,1803,2394986:6186780:6838622,Vedder - to UFV Chilliwack,14688,6838622,1
51-CFV,1803,2395123:6186794:6838622,Vedder - to Menzies,14728,6838622,0
58-CFV,1803,2395093:6186817:6838782,Tyson - to Cottonwood Mall,15930,6838782,0
54-CFV,2919,2395299:6186824:6838976,Promontory - to Cottonwood Mall,14694,6838976,0
52-CFV,1803,2395019:6186826:6838711,Evans - to Downtown,14629,6838711,0
71-CFV,1803,2395191:6186865:6838636,Chilliwack,14690,6838636,1
57-CFV,2919,2395231:6186876:6839084,Broadway - to Downtown,14623,6839084,0
53-CFV,2919,2395264:6186880:6838597,Fairfield,14705,6838597,1
51-CFV,1803,2395164:6186901:6838743,Vedder - to Menzies,14728,6838743,0
58-CFV,1803,2395140:6186911:6838782,Tyson - to Cottonwood Mall,15930,6838782,0
