shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21289,50.71437,-121.27924,0,0
21289,50.72513,-121.27939,1,1197
21313,51.09333,-121.58412,0,0
21313,51.09358,-121.58384,1,40
21313,51.09406,-121.58446,2,112
21313,51.09413,-121.58551,3,185
21313,51.09265,-121.58811,4,430
21313,51.09137,-121.58932,5,595
21313,51.09087,-121.58864,6,670
21313,51.08961,-121.59083,7,877
21313,51.08931,-121.59122,8,920
21313,51.08903,-121.59144,9,953
21313,51.08815,-121.59162,10,1052
21313,51.08215,-121.59099,11,1719
21313,51.07545,-121.59023,12,2465
21313,51.07436,-121.58954,13,2594
21313,51.0741,-121.58927,14,2629
21313,51.07343,-121.58815,15,2736
21313,51.07264,-121.58656,16,2878
21313,51.07163,-121.58529,17,3020
21313,51.07049,-121.58434,18,3162
21313,51.06658,-121.5797,19,3701
21313,51.06528,-121.5781,20,3882
21313,51.06472,-121.57692,21,3985
21313,51.06337,-121.57227,22,4341
21313,51.06219,-121.56452,23,4897
21313,51.06205,-121.56378,24,4949
21313,51.06155,-121.56234,25,5063
21313,51.06058,-121.56082,26,5214
21313,51.05913,-121.55893,27,5421
21313,51.05827,-121.55732,28,5568
21313,51.05743,-121.55633,29,5684
21313,51.05513,-121.55514,30,5949
21313,51.0541,-121.55421,31,6081
21313,51.05256,-121.55193,32,6313
21313,51.05173,-121.55122,33,6416
21313,51.04868,-121.54968,34,6771
21313,51.04417,-121.54915,35,7273
21313,51.04119,-121.54824,36,7608
21313,51.04006,-121.54841,37,7732
21313,51.03773,-121.54986,38,8009
21313,51.03656,-121.55008,39,8138
21313,51.02948,-121.5495,40,8923
21313,51.02612,-121.5493,41,9296
21313,51.02196,-121.5476,42,9771
21313,51.02097,-121.54681,43,9892
21313,51.01706,-121.54242,44,10424
21313,51.01486,-121.53992,45,10724
21313,51.01332,-121.53754,46,10962
21313,51.01234,-121.53655,47,11091
21313,51.00993,-121.5352,48,11374
21313,51.00935,-121.5346,49,11450
21313,51.00852,-121.53336,50,11577
21313,51.00765,-121.53256,51,11688
21313,51.00624,-121.5317,52,11855
21313,51.00471,-121.53114,53,12029
21313,51.00001,-121.53069,54,12551
21313,50.99822,-121.53054,55,12749
21313,50.99684,-121.5301,56,12904
21313,50.99353,-121.52799,57,13299
21313,50.99273,-121.52704,58,13409
21313,50.99117,-121.52425,59,13670
21313,50.99018,-121.52289,60,13816
21313,50.98891,-121.52156,61,13982
21313,50.98846,-121.52091,62,14049
21313,50.98779,-121.51945,63,14175
21313,50.98727,-121.51704,64,14352
21313,50.98681,-121.51555,65,14468
21313,50.9862,-121.51431,66,14576
21313,50.9855,-121.51332,67,14679
21313,50.98302,-121.51123,68,14986
21313,50.98244,-121.51034,69,15075
21313,50.9818,-121.5088,70,15204
21313,50.97992,-121.50287,71,15669
21313,50.9796,-121.50131,72,15784
21313,50.97936,-121.49832,73,15994
21313,50.97714,-121.49093,74,16566
21313,50.97456,-121.48288,75,17198
21313,50.97247,-121.47467,76,17817
21313,50.97207,-121.47318,77,17931
21313,50.96952,-121.46695,78,18450
21313,50.96842,-121.46443,79,18665
21313,50.96797,-121.46265,80,18797
21313,50.96774,-121.46104,81,18912
21313,50.96758,-121.45915,82,19045
21313,50.96736,-121.45783,83,19140
21313,50.96682,-121.45643,84,19254
21313,50.96589,-121.45516,85,19389
21313,50.96427,-121.45392,86,19588
21313,50.96361,-121.4531,87,19681
21313,50.96302,-121.452,88,19782
21313,50.96213,-121.44939,89,19990
21313,50.96118,-121.44738,90,20165
21313,50.96042,-121.44633,91,20277
21313,50.957,-121.44276,92,20733
21313,50.95606,-121.44141,93,20873
21313,50.95279,-121.43566,94,21417
21313,50.94792,-121.42948,95,22110
21313,50.94719,-121.42861,96,22211
21313,50.94634,-121.42786,97,22319
21313,50.94087,-121.42497,98,22960
21313,50.93598,-121.42111,99,23567
21313,50.93089,-121.4177,100,24181
21313,50.92892,-121.4167,101,24411
21313,50.92538,-121.41565,102,24812
21313,50.92384,-121.4147,103,24995
21313,50.92085,-121.41123,104,25407
21313,50.91957,-121.41035,105,25561
21313,50.91573,-121.40909,106,25996
21313,50.91417,-121.40817,107,26180
21313,50.9095,-121.40373,108,26784
21313,50.90854,-121.40308,109,26899
21313,50.90723,-121.40255,110,27048
21313,50.89406,-121.40113,111,28516
21313,50.88852,-121.40013,112,29136
21313,50.88584,-121.39968,113,29433
21313,50.88483,-121.39925,114,29548
21313,50.88398,-121.39874,115,29649
21313,50.87728,-121.39323,116,30488
21313,50.87639,-121.3927,117,30594
21313,50.87127,-121.39124,118,31171
21313,50.8654,-121.38963,119,31833
21313,50.86415,-121.38913,120,31976
21313,50.86073,-121.3867,121,32392
21313,50.85789,-121.38532,122,32721
21313,50.8461,-121.38349,123,34038
21313,50.84149,-121.3828,124,34553
21313,50.84135,-121.38262,125,34573
21313,50.84094,-121.38247,126,34619
21313,50.83993,-121.38164,127,34744
21313,50.83913,-121.38059,128,34859
21313,50.83556,-121.37388,129,35473
21313,50.83239,-121.36875,130,35977
21313,50.83179,-121.36751,131,36086
21313,50.83012,-121.36146,132,36549
21313,50.82663,-121.35366,133,37222
21313,50.82417,-121.34621,134,37813
21313,50.82219,-121.3396,135,38328
21313,50.82064,-121.33561,136,38657
21313,50.81931,-121.33321,137,38881
21313,50.81836,-121.33179,138,39026
21313,50.81723,-121.33039,139,39185
21313,50.81312,-121.32618,140,39727
21313,50.8125,-121.32568,141,39802
21313,50.8115,-121.32533,142,39913
21313,50.81087,-121.32531,143,39982
21313,50.81088,-121.32444,144,40043
21313,50.81107,-121.32438,145,40068
21313,50.81123,-121.32444,146,40089
21313,50.8112,-121.32532,147,40150
21313,50.80653,-121.32549,148,40665
21313,50.8018,-121.32404,149,41197
21313,50.79842,-121.32369,150,41574
21313,50.797,-121.32309,151,41736
21313,50.79106,-121.31798,152,42488
21313,50.78549,-121.31319,153,43192
21313,50.78451,-121.31254,154,43310
21313,50.78303,-121.31207,155,43478
21313,50.77817,-121.3114,156,44020
21313,50.77365,-121.31107,157,44522
21313,50.77311,-121.31108,158,44582
21313,50.77303,-121.31041,159,44630
21313,50.77292,-121.31004,160,44658
21313,50.76933,-121.30649,161,45129
21313,50.76883,-121.3056,162,45212
21313,50.7685,-121.30452,163,45295
21313,50.76828,-121.30227,164,45455
21313,50.76769,-121.29966,165,45650
21313,50.76754,-121.29785,166,45778
21313,50.76732,-121.29701,167,45842
21313,50.76697,-121.29636,168,45902
21313,50.76566,-121.29516,169,46070
21313,50.76433,-121.29334,170,46264
21313,50.76376,-121.29275,171,46340
21313,50.76263,-121.29215,172,46471
21313,50.76144,-121.29085,173,46632
21313,50.75866,-121.28847,174,46984
21313,50.75792,-121.2881,175,47069
21313,50.75697,-121.28793,176,47174
21313,50.75654,-121.28773,177,47224
21313,50.75522,-121.28621,178,47405
21313,50.7537,-121.28537,179,47584
21313,50.75096,-121.2849,180,47889
21313,50.74773,-121.28265,181,48280
21313,50.74319,-121.28023,182,48813
21313,50.74221,-121.28012,183,48920
21313,50.73679,-121.28185,184,49535
21313,50.73505,-121.28205,185,49729
21313,50.73193,-121.28174,186,50075
21313,50.73088,-121.28183,187,50191
21313,50.72807,-121.28299,188,50513
21313,50.72778,-121.283,189,50546
21313,50.72745,-121.2827,190,50587
21313,50.72608,-121.28074,191,50792
21313,50.72594,-121.28048,192,50816
21313,50.72587,-121.2802,193,50836
21313,50.72586,-121.27961,194,50877
21313,50.72593,-121.27911,195,50912
21313,50.72513,-121.27939,196,51007
21329,50.72513,-121.27939,0,0
21329,50.72496,-121.27937,1,22
21329,50.72511,-121.28076,2,121
21329,50.72594,-121.28048,3,215
21329,50.72745,-121.2827,4,444
21329,50.72762,-121.2829,5,467
21329,50.72807,-121.28299,6,518
21329,50.72838,-121.28288,7,553
21329,50.72834,-121.28236,8,590
21329,50.72844,-121.2821,9,611
21329,50.72865,-121.28195,10,635
21329,50.72907,-121.28212,11,683
21329,50.72931,-121.28209,12,708
21329,50.72954,-121.28188,13,737
21329,50.73074,-121.28015,14,917
21329,50.73129,-121.27894,15,1022
21329,50.73156,-121.27879,16,1053
21329,50.73189,-121.27849,17,1095
21329,50.73207,-121.27818,18,1124
21329,50.73257,-121.27632,19,1265
21329,50.73264,-121.27507,20,1353
21329,50.73288,-121.27519,21,1381
21329,50.73335,-121.27563,22,1441
21329,50.7338,-121.27582,23,1492
21329,50.73494,-121.27746,24,1663
21329,50.73327,-121.28119,25,1984
21329,50.7332,-121.2819,26,2034
21329,50.73505,-121.28205,27,2239
21329,50.73679,-121.28185,28,2433
21329,50.7417,-121.28021,29,2992
21329,50.7427,-121.28011,30,3101
21329,50.74366,-121.28043,31,3210
21329,50.74857,-121.2832,32,3788
21329,50.75061,-121.28475,33,4039
21329,50.7537,-121.28537,34,4384
21329,50.75467,-121.28583,35,4496
21329,50.75522,-121.28621,36,4563
21329,50.75607,-121.28727,37,4683
21329,50.75654,-121.28773,38,4744
21329,50.75827,-121.28822,39,4938
21329,50.76144,-121.29085,40,5336
21329,50.76224,-121.29182,41,5448
21329,50.76376,-121.29275,42,5628
21329,50.76566,-121.29516,43,5898
21329,50.76657,-121.29593,44,6012
21329,50.76697,-121.29636,45,6066
21329,50.76732,-121.29701,46,6126
21329,50.76754,-121.29785,47,6190
21329,50.76769,-121.29966,48,6318
21329,50.76828,-121.30227,49,6513
21329,50.7685,-121.30452,50,6673
21329,50.76883,-121.3056,51,6756
21329,50.76933,-121.30649,52,6839
21329,50.77269,-121.30975,53,7278
21329,50.77292,-121.31004,54,7310
21329,50.77322,-121.31083,55,7373
21329,50.77365,-121.31107,56,7423
21329,50.77817,-121.3114,57,7925
21329,50.78303,-121.31207,58,8467
21329,50.78451,-121.31254,59,8635
21329,50.78549,-121.31319,60,8753
21329,50.79006,-121.31712,61,9331
21329,50.79625,-121.32249,62,10116
21329,50.79773,-121.32345,63,10293
21329,50.80237,-121.32416,64,10811
21329,50.80607,-121.32542,65,11230
21329,50.8107,-121.32532,66,11741
21329,50.81088,-121.32444,67,11820
21329,50.81107,-121.32438,68,11845
21329,50.81123,-121.32444,69,11866
21329,50.8112,-121.32532,70,11927
21329,50.81213,-121.32551,71,12029
21329,50.81298,-121.32604,72,12129
21329,50.81723,-121.33039,73,12688
21329,50.81836,-121.33179,74,12847
21329,50.82008,-121.33451,75,13117
21329,50.82144,-121.33747,76,13374
21329,50.82409,-121.34594,77,14039
21329,50.82606,-121.35224,78,14533
21329,50.82968,-121.36038,79,15234
21329,50.8305,-121.36265,80,15416
21329,50.83179,-121.36751,81,15787
21329,50.83239,-121.36875,82,15896
21329,50.83556,-121.37388,83,16400
21329,50.83913,-121.38059,84,17014
21329,50.83993,-121.38164,85,17129
21329,50.84044,-121.38214,86,17195
21329,50.84135,-121.38262,87,17300
21329,50.84149,-121.3828,88,17320
21329,50.8461,-121.38349,89,17835
21329,50.85655,-121.38504,90,19001
21329,50.85789,-121.38532,91,19152
21329,50.86073,-121.3867,92,19481
21329,50.86415,-121.38913,93,19897
21329,50.87127,-121.39124,94,20702
21329,50.87597,-121.39253,95,21232
21329,50.87728,-121.39323,96,21385
21329,50.88398,-121.39874,97,22224
21329,50.88483,-121.39925,98,22325
21329,50.88584,-121.39968,99,22440
21329,50.89406,-121.40113,100,23357
21329,50.90382,-121.40213,101,24445
21329,50.90723,-121.40255,102,24825
21329,50.90854,-121.40308,103,24974
21329,50.9095,-121.40373,104,25089
21329,50.91377,-121.40783,105,25643
21329,50.91512,-121.40878,106,25806
21329,50.91957,-121.41035,107,26312
21329,50.92085,-121.41123,108,26466
21329,50.92384,-121.4147,109,26878
21329,50.92538,-121.41565,110,27061
21329,50.92892,-121.4167,111,27462
21329,50.93089,-121.4177,112,27692
21329,50.93598,-121.42111,113,28306
21329,50.94087,-121.42497,114,28913
21329,50.94543,-121.4273,115,29446
21329,50.94634,-121.42786,116,29554
21329,50.94719,-121.42861,117,29662
21329,50.95139,-121.43361,118,30245
21329,50.95222,-121.43473,119,30366
21329,50.95606,-121.44141,120,31000
21329,50.957,-121.44276,121,31140
21329,50.96042,-121.44633,122,31596
21329,50.96118,-121.44738,123,31708
21329,50.96177,-121.44853,124,31812
21329,50.96302,-121.452,125,32091
21329,50.96361,-121.4531,126,32192
21329,50.96427,-121.45392,127,32285
21329,50.96589,-121.45516,128,32484
21329,50.96657,-121.45599,129,32578
21329,50.96714,-121.45714,130,32679
21329,50.96736,-121.45783,131,32733
21329,50.96797,-121.46265,132,33076
21329,50.96841,-121.4644,133,33206
21329,50.97163,-121.47195,134,33844
21329,50.97377,-121.47989,135,34449
21329,50.97665,-121.48938,136,35186
21329,50.97886,-121.49639,137,35733
21329,50.97936,-121.49832,138,35879
21329,50.9796,-121.50131,139,36089
21329,50.97992,-121.50287,140,36204
21329,50.9818,-121.5088,141,36669
21329,50.98244,-121.51034,142,36798
21329,50.98302,-121.51123,143,36887
