trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2056729:5481394:6857387,17:22:00,17:22:00,106050,1,0,,0,0,1
2056729:5481394:6857387,17:22:00,17:22:00,106051,2,252,,0,0,0
2056729:5481394:6857387,17:23:00,17:23:00,106072,3,581,,0,0,1
2056729:5481394:6857387,17:24:00,17:24:00,106052,4,894,,0,0,0
2056729:5481394:6857387,17:25:00,17:25:00,106054,5,1438,,0,0,0
2056729:5481394:6857387,17:25:00,17:25:00,106055,6,1743,,0,0,0
2056729:5481394:6857387,17:26:00,17:26:00,106056,7,2234,,0,0,0
2056729:5481394:6857387,17:26:00,17:26:00,106057,8,2461,,0,0,0
2056729:5481394:6857387,17:27:00,17:27:00,106058,9,2772,,0,0,1
2056729:5481394:6857387,17:28:00,17:28:00,106059,10,3145,,0,0,0
2056729:5481394:6857387,17:28:00,17:28:00,106062,11,3345,,0,0,0
2056729:5481394:6857387,17:29:00,17:29:00,106061,12,3535,,0,0,0
2056729:5481394:6857387,17:29:00,17:29:00,106060,13,3867,,0,0,0
2056729:5481394:6857387,17:30:00,17:30:00,106065,14,4079,,0,0,0
2056729:5481394:6857387,17:31:00,17:31:00,106066,15,4427,,0,0,0
2056729:5481394:6857387,17:31:00,17:31:00,106080,16,4596,,0,0,0
2056729:5481394:6857387,17:32:00,17:32:00,106075,17,5028,,0,0,1
2056729:5481394:6857387,17:33:00,17:33:00,106076,18,5274,,0,0,0
2056729:5481394:6857387,17:34:00,17:34:00,106077,19,6126,,0,0,0
2056729:5481394:6857387,17:35:00,17:35:00,106074,20,6303,,0,0,0
2056729:5481394:6857387,17:35:00,17:35:00,106083,21,6464,,0,0,0
2056729:5481394:6857387,17:35:00,17:35:00,106078,22,6594,,0,0,0
2056729:5481394:6857387,17:36:00,17:36:00,106073,23,6826,,0,0,1
2056729:5481394:6857387,17:36:00,17:36:00,106079,24,7056,,0,0,0
2056729:5481394:6857387,17:38:00,17:38:00,106081,25,7900,,0,0,0
2056729:5481394:6857387,17:38:00,17:38:00,106082,26,8154,,0,0,1
2056729:5481394:6857387,17:40:00,17:40:00,106063,27,8864,,0,0,0
2056729:5481394:6857387,17:41:00,17:41:00,106067,28,9122,,0,0,0
2056729:5481394:6857387,17:42:00,17:42:00,106084,29,9402,,0,0,0
2056729:5481394:6857387,17:42:00,17:42:00,106085,30,9558,,0,0,1
