route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
31-COW,3397,2056729:5481394:6857387,Alderwood,2563,6857387,1
20-COW,3396,2056520:5481402:6857135,Youbou Connector,2462,6857135,1
8-COW,3397,2056683:5481410:6857171,Mill Bay - Via Cow Bay - Via Telegraph,9620,6857171,1
99-COW,3396,2056561:5481499:6857149,SVX - to Victoria,9619,6857149,1
6-COW,3396,2056491:5481513:6857206,Crofton/Chemainus - To Chemainus,2496,6857206,0
4-COW,3396,2056490:5481565:6857262,Maple Bay,9471,6857262,0
36-COW,3396,2056544:5481607:6857254,Duncan - Via Express,2519,6857254,1
99-COW,3396,2056563:5481631:6857231,SVX - to Shawnigan Lake,12746,6857231,0
31-COW,3396,2056553:5481632:6857306,Alderwood,2563,6857306,1
21-COW,3396,2056535:5481653:6857216,Honeymoon Bay,2586,6857216,1
21-COW,3396,2056530:5481674:6857216,Honeymoon Bay,2586,6857216,1
4-COW,3396,2056398:5481705:6857105,Maple Bay - To Duncan,9526,6857105,1
3-COW,3396,2056509:5481707:6857260,Quamichan - To Cowichan Commons,17409,6857260,1
2-COW,3397,2056705:5481725:6857353,Mt Prevost - To Cowichan Commons,17322,6857353,0
2-COW,3396,2056481:5481733:6857334,Mt Prevost - To Cowichan Commons,17322,6857334,0
6-COW,3396,2056495:5481735:6857360,Crofton/Chemainus - To Duncan,2598,6857360,1
4-COW,3396,2056381:5481741:6857291,Maple Bay - To Duncan,9526,6857291,1
8-COW,3396,2056408:5481752:6857269,Mill Bay - Via Cow Bay - Via Telegraph,9620,6857269,1
2-COW,3396,2056448:5481763:6857382,Mt Prevost - To Cowichan Commons,17322,6857382,0
8-COW,3396,2056411:5481802:6857269,Duncan - Via Shawnigan - Via Hwy 1,10757,6857269,0
99-COW,3396,2056562:5481859:6857220,SVX - to Victoria,9619,6857220,1
2-COW,3396,2056405:5481866:6857326,Mt Prevost - To Cowichan Commons,17322,6857326,0
4-COW,3396,2056471:5481898:6857342,Maple Bay - To Duncan,2587,6857342,1
3-COW,3397,2056667:5481901:6857111,Quamichan - To Village Green Mall,18019,6857111,0
7-COW,3396,2056433:5481913:6857380,Cowichan Lake Express - Via Hwy 18,2566,6857380,1
2-COW,3396,2056447:5481915:6857170,Mt Prevost - To Cowichan Commons,17322,6857170,0
9-COW,3396,2056404:5481931:6857373,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,6857373,1
